amount,due_in_days,past_credits,past_repaid_on_time,avg_days_late,repaid
2000,30,2,1,2.02,1
5000,30,1,1,2.47,1
1000,10,5,1,8.56,0
3000,15,8,4,10.09,1
1000,30,2,1,3.18,1
7200,30,4,4,1.1,1
2000,30,3,2,3.07,1
3000,21,9,5,0.0,1
15000,10,5,3,5.31,0
22000,7,6,6,0.2,1
2000,30,4,3,4.31,1
7200,10,7,2,3.72,0
3000,15,11,5,11.99,1
1000,21,0,0,7.46,0
5000,30,1,1,0.0,1
1000,15,0,0,8.97,0
22000,7,10,4,4.78,1
2000,10,2,0,7.4,1
1000,7,2,1,2.62,1
22000,21,11,10,4.81,0
7200,7,8,5,2.92,0
22000,15,6,5,0.0,1
7200,7,9,4,10.27,1
10000,15,7,3,1.02,1
5000,30,3,2,1.15,1
15000,15,4,3,6.47,0
3000,15,6,2,13.2,1
22000,15,11,7,9.08,1
10000,30,4,0,12.04,0
2000,15,3,2,1.09,1
22000,15,2,1,5.81,1
22000,15,4,3,0.14,1
5000,21,1,0,7.79,1
1000,15,10,4,5.22,1
1000,15,1,1,2.77,1
7200,15,4,3,5.63,0
10000,15,10,3,4.96,1
15000,30,11,5,8.19,1
1000,21,3,3,0.29,1
2000,30,4,2,6.28,1
15000,15,8,5,0.18,0
15000,15,1,1,8.21,1
5000,21,10,1,12.04,0
15000,10,5,4,8.99,1
22000,7,7,2,6.5,0
15000,15,2,1,3.11,0
22000,30,7,3,9.83,0
2000,15,4,1,5.77,1
10000,15,9,8,0.0,1
22000,7,6,5,0.28,1
2000,10,2,0,8.67,1
2000,30,5,4,2.61,1
3000,15,3,2,3.79,1
5000,10,9,6,3.83,1
10000,10,1,1,5.63,0
15000,7,6,5,0.0,1
3000,10,2,2,0.0,1
2000,10,9,7,6.28,1
5000,7,4,0,11.83,1
10000,15,5,1,14.51,0
22000,15,7,2,7.39,0
10000,10,5,2,12.13,0
15000,21,0,0,7.36,0
2000,10,3,2,4.36,1
22000,10,7,5,6.28,1
22000,10,9,6,0.63,0
3000,15,6,4,4.61,0
10000,21,4,1,8.61,1
5000,15,1,0,9.25,0
2000,30,5,2,7.3,1
10000,15,11,4,7.01,1
1000,10,5,4,2.75,1
22000,7,0,0,0.0,1
1000,10,1,1,0.0,1
15000,7,10,3,9.41,0
2000,21,11,9,4.24,1
1000,21,5,1,8.21,0
3000,21,9,7,0.0,0
10000,7,0,0,7.25,1
7200,30,11,6,4.91,0
3000,30,9,3,5.63,1
15000,30,0,0,11.79,1
5000,10,10,10,0.0,1
5000,21,2,2,0.0,1
10000,7,4,3,6.33,0
10000,30,10,1,11.18,0
2000,7,9,6,9.55,1
3000,15,0,0,7.32,0
10000,21,11,9,0.0,1
22000,7,3,3,0.0,1
3000,10,2,2,0.29,1
7200,21,3,3,0.0,1
1000,21,7,5,0.92,1
1000,15,8,4,11.0,0
5000,21,11,4,8.04,0
5000,10,5,2,7.01,1
1000,30,7,7,0.0,0
3000,21,1,0,5.93,1
22000,21,2,2,0.46,1
5000,30,3,2,0.0,1
7200,30,4,1,6.43,0
7200,15,10,5,6.15,1
10000,30,8,3,2.83,1
3000,15,5,3,1.9,1
1000,15,8,6,4.74,1
7200,10,7,1,10.2,0
7200,30,4,3,0.0,1
1000,15,11,5,8.83,0
1000,10,4,1,3.18,1
7200,15,8,8,0.0,1
2000,10,0,0,9.38,0
2000,15,11,8,1.25,1
15000,15,0,0,0.76,1
22000,30,8,4,1.93,0
3000,7,0,0,6.5,0
1000,10,2,1,0.0,1
22000,15,7,5,1.01,0
1000,15,5,4,0.0,0
10000,10,3,2,3.75,1
3000,10,8,6,2.61,1
7200,15,8,7,6.55,1
10000,15,5,3,4.74,1
5000,10,10,2,12.54,1
3000,15,9,7,1.6,1
2000,7,6,2,4.1,1
7200,15,11,6,3.41,0
7200,7,8,3,2.37,0
2000,7,3,1,9.46,1
2000,15,6,4,5.82,1
1000,30,4,3,5.22,1
1000,10,8,2,6.89,0
5000,15,7,5,2.42,1
22000,21,0,0,0.76,1
3000,7,0,0,5.79,1
2000,30,2,1,5.1,0
10000,21,3,2,5.14,1
22000,21,0,0,1.74,1
10000,15,9,3,9.71,1
5000,21,11,6,8.16,1
7200,15,3,1,13.57,1
15000,7,5,3,1.31,1
22000,7,1,0,5.11,0
10000,10,4,1,9.15,0
1000,15,3,1,8.7,0
5000,30,5,1,10.8,1
7200,30,1,1,0.0,1
10000,15,5,4,3.71,0
15000,15,1,0,15.5,0
1000,10,10,3,7.46,1
3000,30,7,3,8.36,1
22000,21,1,1,5.91,1
15000,30,5,2,5.28,0
7200,21,11,9,2.36,0
3000,10,2,2,6.48,1
22000,15,5,3,1.88,1
22000,21,7,7,0.57,0
15000,15,3,2,6.97,1
15000,15,5,4,1.45,1
2000,7,3,2,0.87,1
5000,15,4,4,0.0,1
5000,21,1,1,6.04,1
1000,21,4,0,9.44,1
15000,21,11,6,3.3,1
5000,7,2,1,12.09,0
1000,21,11,8,2.76,1
15000,15,5,2,8.43,1
15000,15,9,6,0.0,1
1000,7,1,0,13.59,0
15000,15,4,0,10.63,1
5000,21,2,1,5.52,1
7200,15,6,2,4.72,1
15000,30,5,4,0.64,1
2000,7,1,1,5.73,1
22000,21,8,3,5.53,0
7200,7,0,0,5.65,1
15000,15,2,1,4.02,0
10000,30,7,6,3.06,0
22000,21,6,1,5.06,0
7200,21,11,6,4.41,1
15000,15,1,1,0.0,1
15000,15,9,2,9.69,0
15000,30,6,2,7.13,0
3000,30,8,6,3.71,1
1000,10,5,2,5.85,1
2000,15,11,4,6.26,0
7200,21,1,1,4.5,1
22000,10,0,0,6.8,0
5000,10,6,4,5.52,1
3000,15,11,8,1.1,1
1000,21,8,4,8.38,1
7200,15,8,2,11.55,0
15000,30,0,0,5.68,1
22000,15,1,0,9.0,0
15000,15,5,2,8.07,1
3000,15,9,3,10.03,0
15000,10,4,3,8.43,1
3000,15,0,0,6.65,0
22000,15,10,4,10.61,1
7200,21,8,0,15.92,0
5000,10,10,8,5.97,1
15000,30,9,4,10.81,0
1000,15,9,3,3.39,0
5000,30,2,0,8.82,1
5000,15,4,2,2.74,1
5000,21,6,4,6.66,1
10000,10,9,2,7.95,0
2000,7,4,2,7.12,0
10000,15,10,8,0.66,1
15000,15,8,3,5.49,0
3000,15,7,2,5.66,0
1000,15,4,1,6.38,0
10000,10,2,1,4.74,1
3000,7,0,0,10.09,1
2000,10,6,4,1.39,1
5000,30,9,7,1.44,1
7200,10,10,6,7.46,1
22000,10,7,4,6.41,0
1000,10,9,8,1.44,1
1000,10,5,1,10.58,0
2000,30,8,1,6.78,0
7200,7,0,0,9.81,1
15000,10,5,5,3.95,1
1000,21,0,0,2.96,1
22000,30,7,4,3.35,0
5000,15,0,0,3.49,1
7200,7,5,4,11.3,0
5000,15,4,2,8.8,0
7200,21,0,0,7.78,0
10000,10,5,4,1.1,1
2000,7,3,1,5.09,1
5000,7,10,8,1.8,1
5000,15,4,4,3.5,1
1000,15,4,3,9.17,1
7200,15,7,5,0.11,1
22000,15,5,3,7.93,0
1000,15,0,0,7.26,1
2000,15,9,7,1.51,1
10000,30,0,0,5.7,1
5000,30,9,8,0.0,1
1000,30,2,1,10.11,0
2000,21,11,8,0.5,1
22000,15,1,1,3.02,1
3000,10,10,4,7.46,1
2000,15,11,5,6.8,1
1000,30,8,7,0.0,1
1000,15,1,0,9.42,0
2000,10,1,1,0.0,1
3000,10,8,2,9.3,0
15000,15,5,3,0.24,1
5000,7,3,3,2.02,1
15000,15,10,2,9.1,0
22000,15,2,1,6.42,0
15000,21,8,7,0.82,1
15000,15,11,7,0.64,1
2000,7,2,1,9.93,1
3000,7,10,8,4.91,0
15000,7,0,0,0.0,1
7200,10,7,5,3.08,1
5000,10,5,2,3.9,1
3000,15,4,3,2.95,1
3000,15,6,3,5.11,1
22000,10,8,7,1.84,1
3000,10,11,6,2.77,1
3000,21,1,0,5.69,0
15000,15,6,4,5.89,1
3000,10,11,10,4.4,1
7200,30,1,0,7.75,0
1000,15,0,0,4.52,1
1000,15,2,1,6.71,1
15000,10,8,6,5.56,1
2000,15,9,3,8.83,1
3000,15,3,3,2.42,1
2000,15,6,4,5.93,1
2000,21,11,8,7.2,0
7200,7,11,8,3.88,1
22000,21,3,1,7.91,1
10000,15,3,0,6.15,1
22000,15,1,1,6.47,0
3000,10,9,2,9.59,0
1000,7,5,3,1.77,1
7200,30,3,3,0.45,1
3000,15,4,3,6.4,1
10000,30,8,2,11.86,0
1000,15,1,0,6.47,1
1000,10,0,0,7.52,0
5000,10,5,5,0.0,1
22000,10,10,7,7.96,0
2000,21,0,0,11.31,1
1000,15,1,1,3.07,0
5000,10,7,4,7.32,1
2000,30,0,0,0.0,1
22000,21,6,3,8.48,1
1000,15,10,1,8.77,0
15000,15,6,3,9.37,1
3000,15,8,2,9.98,0
7200,15,0,0,4.6,0
3000,15,0,0,0.14,1
15000,30,5,2,4.73,1
1000,15,8,3,8.44,0
15000,15,10,4,1.04,1
7200,21,6,5,1.38,0
3000,15,0,0,3.46,1
22000,15,10,8,0.0,1
3000,10,2,1,0.0,1
1000,10,0,0,8.05,0
10000,21,3,1,10.83,0
22000,15,2,1,8.17,0
15000,15,3,2,0.0,1
7200,10,9,7,1.65,1
2000,21,11,9,4.08,1
10000,15,3,3,0.0,1
22000,15,7,4,8.82,0
1000,15,4,3,3.61,1
15000,10,8,7,0.0,1
15000,30,9,2,9.63,1
1000,15,5,2,7.91,1
10000,15,7,6,0.0,1
22000,30,10,9,2.91,1
15000,7,2,2,3.74,1
1000,30,9,7,3.26,1
22000,10,3,2,5.71,1
5000,10,9,3,11.78,0
1000,30,1,1,6.71,1
2000,21,9,7,0.04,1
1000,21,3,2,1.84,1
2000,10,3,2,2.0,1
2000,15,3,3,5.53,1
10000,15,8,7,0.18,1
10000,10,4,2,3.26,0
1000,10,1,1,7.68,0
7200,21,6,3,9.07,1
22000,10,9,2,5.27,1
3000,30,9,7,0.0,0
22000,15,10,6,5.59,1
3000,15,10,6,5.0,1
10000,15,3,1,7.12,1
1000,21,9,6,8.52,0
5000,15,6,5,0.0,1
1000,21,6,3,2.38,1
5000,21,10,9,2.7,0
5000,21,7,6,5.74,0
5000,15,9,2,8.18,0
2000,15,10,5,8.06,1
15000,30,2,1,8.24,0
2000,15,6,6,0.0,1
5000,7,4,2,1.23,1
1000,15,9,5,5.16,0
7200,7,11,6,9.5,0
22000,21,1,0,5.68,0
1000,7,11,8,4.57,1
7200,7,1,0,6.04,1
15000,15,0,0,9.08,0
15000,10,3,1,8.13,1
7200,21,4,2,5.55,1
3000,21,3,2,11.58,1
5000,10,4,2,4.19,1
10000,15,10,5,6.95,1
3000,10,2,1,8.35,0
5000,7,1,1,2.55,0
2000,15,4,2,8.24,1
1000,15,1,0,7.84,0
15000,30,8,6,0.0,1
2000,21,6,2,0.0,1
2000,15,3,2,4.3,1
10000,7,6,2,6.39,0
5000,15,5,3,6.74,1
2000,10,5,2,11.29,0
10000,7,6,4,4.53,1
3000,30,0,0,9.4,1
15000,30,2,1,5.37,1
5000,10,1,1,0.0,0
22000,10,11,8,0.27,1
1000,30,4,2,5.79,1
22000,15,6,5,0.0,1
5000,7,7,7,2.42,0
10000,7,5,3,5.19,1
3000,10,8,6,9.9,1
22000,10,6,1,11.13,0
1000,10,6,2,10.28,1
5000,15,8,2,11.89,0
5000,21,7,3,6.35,1
7200,21,1,1,0.0,1
22000,7,8,7,4.16,0
2000,10,8,7,5.55,0
5000,10,1,1,0.55,1
5000,15,1,1,3.66,1
2000,30,11,8,0.93,1
3000,15,5,4,0.0,1
1000,7,1,1,2.19,1
7200,15,2,1,6.61,0
3000,15,5,3,6.37,1
15000,15,6,4,4.26,0
3000,15,11,3,9.45,1
15000,15,11,9,8.72,1
7200,10,1,1,1.77,1
1000,7,9,4,6.22,1
5000,21,9,7,5.33,1
10000,10,6,5,3.29,0
5000,15,3,2,4.07,0
3000,15,5,3,4.11,0
10000,15,11,6,0.63,0
5000,21,11,10,2.52,1
15000,30,7,4,3.08,1
2000,10,1,0,6.37,1
5000,15,6,5,5.34,1
3000,7,6,4,5.67,1
2000,15,5,2,8.89,0
5000,15,3,1,7.92,0
7200,15,5,2,7.81,1
3000,7,8,1,8.6,1
7200,30,5,4,0.0,0
3000,15,3,2,1.95,1
15000,7,6,5,0.0,1
22000,15,2,2,2.54,1
2000,30,9,7,9.59,1
2000,15,7,3,7.52,1
7200,21,11,3,12.47,1
22000,21,0,0,3.45,1
15000,21,9,3,12.78,0
3000,7,4,4,2.53,1
15000,7,4,2,9.05,1
1000,7,10,6,4.39,1
2000,15,1,0,8.9,1
15000,30,9,8,0.0,1
5000,30,8,7,5.58,1
22000,7,8,6,3.32,1
2000,10,1,0,9.38,0
7200,10,0,0,11.25,1
10000,7,9,4,5.07,1
15000,21,4,3,1.68,1
3000,21,7,6,1.83,1
22000,7,1,1,5.18,1
7200,10,8,7,0.0,1
15000,21,4,3,4.92,1
7200,15,8,1,7.37,1
5000,15,0,0,0.16,1
1000,10,8,3,7.64,1
3000,10,4,2,5.74,0
2000,7,7,5,5.64,1
22000,10,10,9,0.0,1
22000,15,5,2,13.74,0
2000,30,3,2,7.41,1
3000,15,0,0,1.93,1
15000,10,0,0,5.44,0
3000,10,1,0,10.39,1
22000,21,3,2,5.07,0
10000,21,4,3,4.16,1
5000,30,9,5,6.82,1
3000,15,1,1,2.29,0
2000,7,3,2,6.57,1
3000,15,4,3,4.34,1
2000,7,11,5,5.99,1
7200,30,11,8,0.65,0
22000,30,2,2,1.97,0
10000,30,8,4,5.74,1
2000,10,2,1,4.12,1
5000,21,0,0,0.0,0
1000,21,3,1,8.69,1
3000,10,9,3,8.67,0
15000,10,2,2,3.23,1
3000,30,2,2,2.29,1
1000,15,0,0,6.97,1
3000,10,4,1,4.25,0
1000,7,10,7,4.48,1
2000,7,5,1,10.97,0
22000,7,4,1,5.33,1
10000,15,0,0,6.49,0
10000,10,9,4,4.05,0
15000,30,9,4,5.31,0
7200,15,9,8,6.34,1
3000,7,0,0,7.25,1
10000,10,2,1,3.04,1
1000,7,9,3,6.96,0
2000,7,3,3,2.65,1
10000,10,3,2,6.59,1
1000,15,0,0,8.38,1
22000,10,9,2,11.84,0
1000,15,6,4,4.0,1
10000,21,6,3,6.01,1
22000,30,0,0,17.79,0
22000,30,4,3,3.93,1
7200,15,11,10,1.55,1
1000,15,5,4,0.21,1
1000,7,5,3,6.21,1
7200,15,8,8,2.57,1
2000,15,8,3,5.5,1
10000,21,0,0,2.22,1
1000,10,1,1,4.75,1
10000,10,1,0,8.35,1
15000,15,1,1,2.83,0
3000,10,3,3,0.0,1
3000,15,5,2,8.23,1
10000,15,6,3,8.94,0
22000,10,4,2,0.0,1
3000,21,6,6,1.08,1
3000,30,9,4,3.37,1
10000,30,2,0,14.02,0
10000,10,3,2,3.65,0
5000,15,7,1,8.02,0
22000,21,9,5,0.0,1
2000,15,6,3,5.03,1
7200,10,9,2,4.87,0
2000,10,7,6,5.53,1
1000,10,1,1,6.44,1
7200,15,7,4,0.0,1
10000,10,4,1,2.78,1
3000,15,2,1,10.8,0
22000,15,0,0,0.26,1
7200,15,6,2,7.66,0
1000,10,5,3,5.69,1
2000,15,9,3,9.49,0
5000,10,11,6,8.99,1
1000,10,6,3,3.18,0
2000,10,2,0,9.08,0
2000,21,5,1,14.99,0
10000,15,2,1,6.55,0
1000,10,6,3,3.62,1
2000,15,6,5,5.97,1
22000,30,7,5,4.94,1
22000,15,2,2,2.95,0
3000,7,9,8,0.0,1
10000,7,6,2,9.02,0
15000,15,8,2,8.1,0
15000,21,2,1,6.44,1
7200,15,4,2,7.7,1
10000,10,0,0,9.65,0
15000,21,4,3,2.26,1
15000,15,7,4,4.48,0
3000,15,9,5,9.71,1
7200,7,0,0,3.41,1
10000,15,7,0,8.13,0
7200,7,8,6,1.22,1
7200,7,11,6,8.39,1
10000,7,10,10,0.0,1
22000,30,1,1,5.53,1
3000,30,3,2,4.06,1
1000,15,8,1,11.64,1
15000,7,5,2,3.56,1
5000,30,5,4,5.81,0
5000,7,9,7,5.57,1
7200,30,7,3,2.78,1
5000,10,7,3,8.21,0
15000,30,5,4,4.68,1
22000,30,7,7,3.25,0
5000,30,1,1,2.43,1
22000,30,9,7,0.32,1
2000,21,11,10,0.0,1
10000,10,3,3,0.0,1
1000,15,10,9,1.23,0
3000,15,7,4,4.71,1
5000,21,1,1,8.09,0
15000,15,7,3,4.3,1
15000,10,7,2,9.12,0
10000,15,8,5,7.45,1
1000,15,4,0,11.89,0
10000,15,9,4,4.63,0
10000,10,4,2,7.5,0
7200,15,5,3,3.01,1
10000,21,6,2,11.11,0
5000,15,8,2,11.52,0
7200,10,2,2,0.0,1
10000,7,3,2,4.85,1
10000,7,4,2,7.03,1
5000,7,9,1,7.31,1
5000,30,11,9,3.65,0
3000,15,11,5,6.73,0
1000,15,3,1,8.56,0
10000,15,9,7,0.0,1
1000,10,0,0,2.79,1
15000,21,2,1,9.27,1
15000,15,3,2,4.61,0
7200,15,0,0,3.4,0
1000,15,9,6,2.27,1
3000,10,4,1,14.96,0
3000,15,3,2,5.41,0
5000,7,7,6,5.83,1
5000,15,1,1,0.0,1
15000,30,1,0,7.92,1
2000,30,1,1,0.0,1
1000,30,4,1,7.71,0
7200,21,0,0,0.0,1
3000,30,8,3,7.26,1
3000,10,6,2,4.34,0
1000,7,2,2,1.54,1
7200,10,8,2,6.3,0
5000,30,10,8,7.62,1
3000,15,0,0,12.4,0
22000,15,0,0,10.95,1
22000,15,3,2,1.8,0
15000,10,5,3,4.83,1
15000,7,1,1,0.03,1
2000,15,7,3,8.98,1
5000,15,11,2,6.84,0
15000,7,0,0,0.97,1
2000,30,3,1,8.8,0
3000,15,2,2,1.43,1
2000,30,0,0,0.66,0
22000,15,7,5,5.94,0
3000,21,4,3,5.02,1
2000,15,0,0,8.45,0
10000,15,1,1,2.87,1
5000,30,9,3,7.61,1
7200,15,7,5,6.88,0
3000,7,2,2,0.0,0
15000,7,11,5,8.43,0
22000,21,3,2,9.82,0
5000,15,2,1,9.98,1
3000,21,0,0,8.12,0
1000,21,2,2,1.1,0
15000,21,0,0,0.0,0
2000,15,10,6,3.68,1
22000,15,8,3,2.96,0
10000,15,1,1,4.91,0
7200,15,10,3,8.87,0
10000,15,10,5,5.42,0
3000,15,8,4,11.86,0
15000,21,3,0,8.39,0
7200,15,2,1,7.97,1
15000,15,10,4,4.13,1
22000,21,3,2,0.0,0
15000,15,10,7,5.6,1
22000,21,6,3,0.17,1
15000,15,4,0,10.5,1
22000,10,1,0,9.61,1
2000,15,2,2,0.28,1
7200,7,1,1,0.0,1
1000,21,3,3,0.0,1
15000,7,1,1,4.35,0
1000,30,6,4,2.91,0
3000,15,9,3,9.59,1
15000,30,6,5,0.0,1
22000,30,3,2,1.87,1
7200,15,7,5,1.17,1
7200,15,8,4,4.84,1
7200,30,9,8,0.59,1
7200,21,5,4,0.0,1
1000,15,4,1,7.47,1
7200,21,4,2,9.04,1
1000,21,6,2,3.19,0
3000,21,11,6,9.58,1
1000,30,0,0,3.41,0
7200,7,10,5,6.29,1
2000,21,11,3,7.94,0
2000,10,1,1,6.98,1
5000,15,0,0,7.64,1
7200,7,5,3,4.51,1
7200,15,5,1,10.34,1
3000,7,0,0,5.37,1
3000,15,9,9,0.07,1
10000,15,11,8,2.7,1
15000,21,1,1,0.43,1
1000,15,9,6,7.71,1
22000,21,2,0,6.76,0
7200,7,2,2,6.33,1
3000,15,5,4,2.64,1
2000,10,10,6,2.01,1
